country,year,co2,co2_per_capita
Africa,1950,93.423,0.416
Africa,1951,99.829,0.436
Africa,1952,108.846,0.466
Africa,1953,110.77,0.464
Africa,1954,116.117,0.476
Africa,1955,128.014,0.514
Africa,1956,133.458,0.524
Africa,1957,139.891,0.537
Africa,1958,147.74,0.555
Africa,1959,147.292,0.54
Africa,1960,156.073,0.559
Africa,1961,161.437,0.565
Africa,1962,165.749,0.566
Africa,1963,175.712,0.586
Africa,1964,192.866,0.627
Africa,1965,212.381,0.674
Africa,1966,219.642,0.68
Africa,1967,235.459,0.711
Africa,1968,255.329,0.752
Africa,1969,275.721,0.792
Africa,1970,300.015,0.84
Africa,1971,329.026,0.897
Africa,1972,348.81,0.927
Africa,1973,374.809,0.971
Africa,1974,384.914,0.971
Africa,1975,383.059,0.941
Africa,1976,415.982,0.994
Africa,1977,428.724,0.997
Africa,1978,457.371,1.035
Africa,1979,493.308,1.086
Africa,1980,529.786,1.134
Africa,1981,544.442,1.134
Africa,1982,565.905,1.146
Africa,1983,589.922,1.161
Africa,1984,643.996,1.233
Africa,1985,658.458,1.226
Africa,1986,683.792,1.238
Africa,1987,682.055,1.201
Africa,1988,715.699,1.225
Africa,1989,689.386,1.148
Africa,1990,650.663,1.055
Africa,1991,680.427,1.075
Africa,1992,662.961,1.02
Africa,1993,701.982,1.053
Africa,1994,713.328,1.043
Africa,1995,763.108,1.088
Africa,1996,772.334,1.075
Africa,1997,801.931,1.089
Africa,1998,827.297,1.096
Africa,1999,819.829,1.06
Africa,2000,880.469,1.111
Africa,2001,873.773,1.076
Africa,2002,879.285,1.057
Africa,2003,956.489,1.122
Africa,2004,1022.688,1.171
Africa,2005,1039.698,1.161
Africa,2006,1078.957,1.175
Africa,2007,1120.938,1.191
Africa,2008,1173.883,1.216
Africa,2009,1185.946,1.197
Africa,2010,1206.78,1.188
Africa,2011,1234.606,1.184
Africa,2012,1240.355,1.159
Africa,2013,1256.838,1.144
Africa,2014,1348.065,1.196
Africa,2015,1302.266,1.126
Africa,2016,1324.104,1.116
Africa,2017,1377.21,1.132
Africa,2018,1412.232,1.132
Africa,2019,1434.873,1.121
Asia,1950,483.824,0.345
Asia,1951,463.904,0.323
Asia,1952,514.486,0.351
Asia,1953,551.23,0.369
Asia,1954,604.14,0.397
Asia,1955,688.507,0.445
Asia,1956,764.205,0.484
Asia,1957,859.784,0.535
Asia,1958,1155.15,0.705
Asia,1959,1391.688,0.833
Asia,1960,1537.334,0.902
Asia,1961,1392.746,0.801
Asia,1962,1342.001,0.756
Asia,1963,1422.834,0.785
Asia,1964,1504.58,0.813
Asia,1965,1647.628,0.87
Asia,1966,1793.736,0.925
Asia,1967,1822.724,0.917
Asia,1968,2013.833,0.988
Asia,1969,2284.99,1.093
Asia,1970,2687.71,1.255
Asia,1971,2946.19,1.343
Asia,1972,3113.379,1.386
Asia,1973,3343.168,1.455
Asia,1974,3403.689,1.449
Asia,1975,3572.919,1.488
Asia,1976,3804.978,1.553
Asia,1977,4050.02,1.62
Asia,1978,4231.364,1.66
Asia,1979,4405.052,1.695
Asia,1980,4404.028,1.663
Asia,1981,4377.358,1.621
Asia,1982,4526.764,1.644
Asia,1983,4708.334,1.677
Asia,1984,4980.522,1.74
Asia,1985,5277.344,1.807
Asia,1986,5490.336,1.842
Asia,1987,5716.444,1.879
Asia,1988,6161.032,1.985
Asia,1989,6375.842,2.014
Asia,1990,6571.252,2.037
Asia,1991,6885.974,2.098
Asia,1992,7141.075,2.14
Asia,1993,7479.305,2.207
Asia,1994,7808.824,2.269
Asia,1995,8120.835,2.325
Asia,1996,8463.325,2.389
Asia,1997,8576.129,2.387
Asia,1998,8313.417,2.282
Asia,1999,8573.473,2.322
Asia,2000,8994.853,2.405
Asia,2001,9153.745,2.416
Asia,2002,9673.236,2.522
Asia,2003,10571.682,2.722
Asia,2004,11559.671,2.941
Asia,2005,12362.492,3.109
Asia,2006,13187.854,3.278
Asia,2007,13919.476,3.42
Asia,2008,14708.063,3.573
Asia,2009,15276.685,3.67
Asia,2010,16327.225,3.88
Asia,2011,17520.494,4.119
Asia,2012,18238.782,4.242
Asia,2013,18421.25,4.24
Asia,2014,18729.132,4.268
Asia,2015,18870.08,4.257
Asia,2016,18973.575,4.239
Asia,2017,19373.878,4.288
Asia,2018,19917.214,4.368
Asia,2019,20241.964,4.4
Europe,1950,2375.473,4.322
Europe,1951,2621.723,4.727
Europe,1952,2704.892,4.83
Europe,1953,2781.873,4.919
Europe,1954,2959.523,5.181
Europe,1955,3221.776,5.584
Europe,1956,3432.15,5.89
Europe,1957,3578.93,6.083
Europe,1958,3616.395,6.087
Europe,1959,3697.12,6.163
Europe,1960,3922.562,6.475
Europe,1961,4057.294,6.632
Europe,1962,4283.702,6.933
Europe,1963,4585.591,7.35
Europe,1964,4794.557,7.614
Europe,1965,4947.531,7.79
Europe,1966,5096.38,7.962
Europe,1967,5209.74,8.081
Europe,1968,5453.547,8.403
Europe,1969,5756.083,8.813
Europe,1970,6045.415,9.198
Europe,1971,6262.975,9.469
Europe,1972,6488.318,9.749
Europe,1973,6790.854,10.142
Europe,1974,6808.282,10.109
Europe,1975,6832.366,10.088
Europe,1976,7223.222,10.608
Europe,1977,7269.89,10.623
Europe,1978,7504.062,10.912
Europe,1979,7703.471,11.15
Europe,1980,7702.813,11.099
Europe,1981,7423.119,10.651
Europe,1982,7363.77,10.523
Europe,1983,7372.644,10.495
Europe,1984,7417.875,10.518
Europe,1985,7740.475,10.933
Europe,1986,7757.164,10.913
Europe,1987,7774.259,10.893
Europe,1988,7821.466,10.916
Europe,1989,7797.446,10.844
Europe,1990,8011.565,11.107
Europe,1991,7716.138,10.669
Europe,1992,7088.515,9.779
Europe,1993,6799.941,9.364
Europe,1994,6445.938,8.866
Europe,1995,6429.552,8.837
Europe,1996,6477.061,8.902
Europe,1997,6272.54,8.625
Europe,1998,6247.515,8.597
Europe,1999,6159.424,8.48
Europe,2000,6161.151,8.484
Europe,2001,6288.167,8.656
Europe,2002,6255.483,8.605
Europe,2003,6401.201,8.795
Europe,2004,6432.031,8.825
Europe,2005,6422.288,8.798
Europe,2006,6520.167,8.916
Europe,2007,6471.928,8.833
Europe,2008,6399.412,8.717
Europe,2009,5888.331,8.004
Europe,2010,6115.876,8.296
Europe,2011,6035.187,8.171
Europe,2012,5981.732,8.083
Europe,2013,5825.213,7.858
Europe,2014,5599.166,7.54
Europe,2015,5604.855,7.535
Europe,2016,5597.849,7.513
Europe,2017,5628.105,7.542
Europe,2018,5601.973,7.497
Europe,2019,5448.709,7.284
North America,1950,2733.343,12.036
North America,1951,2825.3,12.238
North America,1952,2756.919,11.729
North America,1953,2818.742,11.765
North America,1954,2699.395,11.045
North America,1955,2948.262,11.822
North America,1956,3102.879,12.19
North America,1957,3086.463,11.881
North America,1958,3007.764,11.346
North America,1959,3095.44,11.448
North America,1960,3170.526,11.5
North America,1961,3165.343,11.266
North America,1962,3289.052,11.493
North America,1963,3421.418,11.745
North America,1964,3599.68,12.147
North America,1965,3751.277,12.451
North America,1966,3935.715,12.858
North America,1967,4104.556,13.207
North America,1968,4267.213,13.529
North America,1969,4475.611,13.985
North America,1970,4834.354,14.888
North America,1971,4889.577,14.84
North America,1972,5135.282,15.361
North America,1973,5360.832,15.806
North America,1974,5210.613,15.144
North America,1975,5041.184,14.445
North America,1976,5275.203,14.906
North America,1977,5426.412,15.122
North America,1978,5609.706,15.42
North America,1979,5668.553,15.371
North America,1980,5519.749,14.766
North America,1981,5330.216,14.069
North America,1982,5107.997,13.304
North America,1983,5103.933,13.118
North America,1984,5254.388,13.327
North America,1985,5281.518,13.222
North America,1986,5269.981,13.021
North America,1987,5507.007,13.431
North America,1988,5736.409,13.81
North America,1989,5864.177,13.937
North America,1990,5998.566,14.076
North America,1991,5951.52,13.789
North America,1992,6070.277,13.889
North America,1993,6175.499,13.954
North America,1994,6302.746,14.061
North America,1995,6366.95,14.022
North America,1996,6592.345,14.327
North America,1997,6707.71,14.383
North America,1998,6786.57,14.359
North America,1999,6888.404,14.387
North America,2000,7092.219,14.632
North America,2001,7007.349,14.29
North America,2002,7061.711,14.244
North America,2003,7158.955,14.288
North America,2004,7271.863,14.361
North America,2005,7320.527,14.302
North America,2006,7255.141,14.018
North America,2007,7364.799,14.071
North America,2008,7161.331,13.529
North America,2009,6668.865,12.46
North America,2010,6886.207,12.73
North America,2011,6782.77,12.411
North America,2012,6598.315,11.954
North America,2013,6746.647,12.107
North America,2014,6786.518,12.067
North America,2015,6644.251,11.709
North America,2016,6510.622,11.375
North America,2017,6456.133,11.187
North America,2018,6634.285,11.403
North America,2019,6475.979,11.044
Oceania,1950,63.714,4.956
Oceania,1951,67.687,5.15
Oceania,1952,70.254,5.235
Oceania,1953,68.667,5.014
Oceania,1954,77.701,5.561
Oceania,1955,81.152,5.69
Oceania,1956,84.276,5.785
Oceania,1957,86.298,5.797
Oceania,1958,88.946,5.846
Oceania,1959,95.053,6.114
Oceania,1960,100.973,6.358
Oceania,1961,103.677,6.396
Oceania,1962,107.209,6.483
Oceania,1963,114.488,6.785
Oceania,1964,124.049,7.2
Oceania,1965,136.725,7.766
Oceania,1966,136.762,7.592
Oceania,1967,145.475,7.887
Oceania,1968,151.161,8.003
Oceania,1969,159.429,8.25
Oceania,1970,165.833,8.403
Oceania,1971,172.156,8.552
Oceania,1972,177.757,8.67
Oceania,1973,194.303,9.316
Oceania,1974,196.727,9.283
Oceania,1975,199.432,9.272
Oceania,1976,198.481,9.099
Oceania,1977,213.27,9.652
Oceania,1978,224.623,10.039
Oceania,1979,226.519,9.992
Oceania,1980,243.571,10.596
Oceania,1981,252.14,10.81
Oceania,1982,257.231,10.858
Oceania,1983,247.791,10.292
Oceania,1984,260.672,10.651
Oceania,1985,268.351,10.785
Oceania,1986,268.078,10.599
Oceania,1987,285.632,11.11
Oceania,1988,291.948,11.172
Oceania,1989,308.626,11.621
Oceania,1990,309.672,11.478
Oceania,1991,311.867,11.384
Oceania,1992,318.817,11.463
Oceania,1993,323.034,11.445
Oceania,1994,328.155,11.46
Oceania,1995,339.667,11.698
Oceania,1996,348.242,11.829
Oceania,1997,358.712,12.021
Oceania,1998,371.447,12.283
Oceania,1999,382.324,12.478
Oceania,2000,389.8,12.554
Oceania,2001,399.971,12.714
Oceania,2002,405.349,12.717
Oceania,2003,415.608,12.862
Oceania,2004,429.314,13.094
Oceania,2005,434.28,13.036
Oceania,2006,440.287,12.989
Oceania,2007,448.584,12.992
Oceania,2008,452.537,12.86
Oceania,2009,453.068,12.636
Oceania,2010,451.95,12.38
Oceania,2011,450.336,12.128
Oceania,2012,454.209,12.037
Oceania,2013,445.772,11.631
Oceania,2014,444.229,11.419
Oceania,2015,452.738,11.467
Oceania,2016,461.42,11.519
Oceania,2017,467.346,11.504
Oceania,2018,470.415,11.422
Oceania,2019,467.762,11.206
South America,1950,112.57,0.99
South America,1951,131.276,1.124
South America,1952,141.463,1.179
South America,1953,140.632,1.141
South America,1954,151.041,1.193
South America,1955,170.066,1.307
South America,1956,184.168,1.378
South America,1957,192.903,1.406
South America,1958,178.736,1.268
South America,1959,196.974,1.361
South America,1960,199.141,1.34
South America,1961,201.768,1.321
South America,1962,215.648,1.375
South America,1963,219.407,1.362
South America,1964,230.188,1.391
South America,1965,240.143,1.414
South America,1966,252.039,1.447
South America,1967,267.375,1.497
South America,1968,287.652,1.571
South America,1969,311.28,1.66
South America,1970,337.868,1.76
South America,1971,346.561,1.763
South America,1972,362.555,1.803
South America,1973,392.633,1.909
South America,1974,416.449,1.98
South America,1975,411.855,1.915
South America,1976,419.127,1.906
South America,1977,434.526,1.932
South America,1978,460.924,2.004
South America,1979,493.699,2.099
South America,1980,507.911,2.112
South America,1981,488.844,1.989
South America,1982,490.142,1.951
South America,1983,485.344,1.89
South America,1984,491.477,1.874
South America,1985,501.602,1.873
South America,1986,529.712,1.938
South America,1987,557.029,1.997
South America,1988,579.967,2.04
